index,title,url
50,"(i) Case Management of Acute Encephalitis Syndrome / J. E.","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/5041.pdf"
51,"(ii) Diagnosis and treatment of Malaria","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/892.pdf"
52,"(iii) Filariasis control in India and Its Elimination","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/5021.pdf"
53,"(iv) Chikungunya Fever","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/155.pdf"
54,"(v) Road Map for Kala-Azar Elimination","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/7051.pdf"
55,"(i) Pre-operative, Operative and Post-operative precautions for Eye Surgery","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/5801.pdf"
56,"(i) Prevention and Management of Burn Injuries","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/520.pdf"
57,"(i) A Manual for Medical Officer","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/58.pdf"
58,"(i) National Guidelines on Rabies Prophylaxis","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/238.pdf"
59,"(i) National Guidelines Diagnosis, Case Management Prevention and Control of Leptospirosis","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/919.pdf"
60,"13. National Treatment Guidelines for Antimicrobial Use in Infectious Diseases","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/86111.pdf"
61,"14. National Guidelines for Diagnosis & Management of Viral Hepatitis","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/3591.pdf"
62,"Guidelines for Ayurveda","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/6391.pdf"
63,"Guidelines for Siddha (Draft)","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/2501.pdf"
